0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:43 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
